train/episode,test/episode,epoch,test/success_rate,stats_o/std,stats_g/mean,stats_g/std,test/mean_Q,train/success_rate,train/mean_Q,stats_o/mean
100.0,20.0,0,0.1,0.04485587,0.83721,0.08126175,-1.7225835,0.04,-1.446773,0.20117499
200.0,40.0,1,0.0,0.050603703,0.8372585,0.07702024,-3.9763439,0.1,-3.1551638,0.20099668
300.0,60.0,2,0.1,0.04894738,0.83671427,0.075177446,-4.9425406,0.04,-5.037714,0.20073344
400.0,80.0,3,0.05,0.04909049,0.8389229,0.074696325,-7.054326,0.09,-6.3429785,0.20161906
500.0,100.0,4,0.0,0.05412314,0.8399656,0.07835496,-9.723323,0.08,-8.164704,0.20186926
600.0,120.0,5,0.1,0.05691047,0.83979344,0.07953249,-9.937559,0.03,-10.649584,0.20186937
700.0,140.0,6,0.2,0.05690687,0.8388958,0.08012746,-9.550734,0.04,-11.576829,0.20171885
800.0,160.0,7,0.15,0.05888128,0.8388074,0.083183676,-11.977411,0.09,-12.29734,0.20147973
900.0,180.0,8,0.1,0.05992738,0.8379862,0.08480965,-14.063672,0.04,-14.763267,0.20150776
1000.0,200.0,9,0.1,0.059793252,0.8374994,0.0840713,-14.757156,0.1,-14.817243,0.20140192
1100.0,220.0,10,0.15,0.059498042,0.8378954,0.08330821,-12.997464,0.08,-16.203487,0.20134479
1200.0,240.0,11,0.0,0.061071787,0.83746004,0.08407844,-17.699383,0.08,-17.429707,0.2011769
1300.0,260.0,12,0.05,0.064843826,0.8368075,0.08927672,-17.842396,0.06,-19.255499,0.20143896
1400.0,280.0,13,0.05,0.06446952,0.8365836,0.08879328,-19.583118,0.04,-20.214205,0.20132214
1500.0,300.0,14,0.05,0.064934626,0.8363037,0.08944982,-20.158707,0.03,-20.446829,0.20123562
1600.0,320.0,15,0.05,0.066186525,0.83663553,0.089352936,-21.773617,0.07,-20.430124,0.20129171
1700.0,340.0,16,0.15,0.06672093,0.8370929,0.08913851,-17.166565,0.04,-22.106264,0.20137568
1800.0,360.0,17,0.1,0.066714995,0.83726734,0.08868847,-22.16242,0.13,-20.075377,0.20137507
1900.0,380.0,18,0.25,0.067416936,0.83693486,0.088477634,-19.439362,0.08,-20.998642,0.20116352
2000.0,400.0,19,0.1,0.06748294,0.8369155,0.08798329,-19.005123,0.11,-22.661577,0.20116204
2100.0,420.0,20,0.0,0.067877896,0.8373463,0.087767385,-25.463894,0.01,-25.055471,0.20118016
2200.0,440.0,21,0.2,0.06804395,0.83727986,0.08742487,-21.809505,0.04,-24.752718,0.20112376
2300.0,460.0,22,0.1,0.06825012,0.8368903,0.08732665,-23.19659,0.05,-25.595861,0.20100899
2400.0,480.0,23,0.15,0.06795839,0.8365967,0.086994894,-23.322172,0.12,-24.26029,0.20093007
2500.0,500.0,24,0.05,0.06781463,0.83648777,0.08693648,-23.322834,0.09,-24.763374,0.20091331
2600.0,520.0,25,0.15,0.06757509,0.8366065,0.08683258,-23.64837,0.05,-26.520632,0.2009436
2700.0,540.0,26,0.0,0.069101565,0.8365721,0.08742841,-33.60053,0.17,-24.276218,0.20116207
2800.0,560.0,27,0.15,0.068785675,0.83646655,0.0871324,-22.649403,0.05,-26.317253,0.2010714
2900.0,580.0,28,0.1,0.06866825,0.8362991,0.086768955,-24.915401,0.03,-28.581745,0.2009655
3000.0,600.0,29,0.0,0.06842589,0.8363808,0.08643202,-28.634796,0.06,-27.877249,0.20101187
3100.0,620.0,30,0.05,0.068167225,0.8362618,0.08607745,-21.0947,0.1,-25.048073,0.20096533
3200.0,640.0,31,0.05,0.06849146,0.83649546,0.08614928,-29.083166,0.06,-27.513525,0.20099165
3300.0,660.0,32,0.15,0.06861233,0.83684796,0.086110115,-25.389465,0.12,-22.885593,0.20105459
3400.0,680.0,33,0.1,0.0686916,0.83712286,0.085817225,-25.56874,0.04,-26.699347,0.20112938
3500.0,700.0,34,0.15,0.06864088,0.8371007,0.08553782,-20.49798,0.07,-25.745007,0.20110211
3600.0,720.0,35,0.2,0.06888748,0.83729035,0.08522873,-24.124691,0.09,-24.930687,0.20115098
3700.0,740.0,36,0.05,0.06946125,0.8374295,0.08537475,-23.465036,0.12,-23.818327,0.20119494
3800.0,760.0,37,0.15,0.06990418,0.83752435,0.085119896,-23.024471,0.02,-25.652483,0.20118523
3900.0,780.0,38,0.2,0.070157506,0.83757997,0.08483753,-20.108984,0.07,-23.595152,0.20123352
4000.0,800.0,39,0.05,0.07087586,0.8374183,0.08502218,-21.84585,0.04,-24.621721,0.20115112
4100.0,820.0,40,0.1,0.071354024,0.8372865,0.08531954,-20.492458,0.1,-24.308382,0.20112169
4200.0,840.0,41,0.1,0.07229313,0.8372436,0.08573734,-23.996696,0.09,-24.613972,0.20118657
4300.0,860.0,42,0.15,0.0727199,0.83729386,0.08573521,-20.308218,0.03,-23.335852,0.20119216
4400.0,880.0,43,0.05,0.07330911,0.8372989,0.08631066,-26.23818,0.12,-22.348875,0.2012725
4500.0,900.0,44,0.1,0.07351015,0.83736163,0.08606925,-22.78143,0.14,-22.363087,0.20130628
4600.0,920.0,45,0.3,0.073616855,0.8376102,0.08596792,-19.093931,0.22,-21.799328,0.20135096
4700.0,940.0,46,0.3,0.07365009,0.8376958,0.085842945,-19.895662,0.14,-23.289085,0.20129801
4800.0,960.0,47,0.2,0.07386919,0.83774877,0.08565899,-19.181553,0.2,-21.30016,0.2012359
4900.0,980.0,48,0.2,0.07439763,0.8378422,0.08577153,-14.69531,0.28,-17.616396,0.20126274
5000.0,1000.0,49,0.25,0.0751102,0.8378448,0.085937224,-19.432571,0.18,-19.88057,0.20112115
5100.0,1020.0,50,0.2,0.07544481,0.8380117,0.08563957,-20.748734,0.14,-20.022438,0.20112714
5200.0,1040.0,51,0.25,0.07563805,0.83804625,0.085710384,-18.231,0.17,-18.78212,0.20114082
5300.0,1060.0,52,0.3,0.07589182,0.8382068,0.085745744,-18.72384,0.24,-19.0061,0.20118365
5400.0,1080.0,53,0.6,0.07575474,0.8383801,0.08545416,-13.332562,0.15,-18.750202,0.20121153
5500.0,1100.0,54,0.45,0.07604329,0.83839655,0.085329406,-14.43986,0.19,-18.802975,0.2012225
5600.0,1120.0,55,0.35,0.07632849,0.83846265,0.08525843,-15.944115,0.24,-17.065512,0.20119594
5700.0,1140.0,56,0.5,0.076544866,0.838604,0.08502274,-14.958221,0.21,-18.179655,0.20122434
5800.0,1160.0,57,0.1,0.076648846,0.83878475,0.08482816,-19.309696,0.23,-18.174316,0.2012401
5900.0,1180.0,58,0.15,0.07678864,0.8387723,0.084623694,-16.280918,0.21,-15.231193,0.20123012
6000.0,1200.0,59,0.1,0.07696434,0.8387893,0.08469587,-16.7261,0.22,-17.824455,0.20122367
6100.0,1220.0,60,0.3,0.077069715,0.83884907,0.08482065,-18.554302,0.26,-15.784689,0.20122132
6200.0,1240.0,61,0.35,0.07786601,0.83886856,0.08510939,-14.770411,0.12,-19.92945,0.20115593
6300.0,1260.0,62,0.25,0.078456394,0.83885694,0.085071504,-16.296385,0.28,-15.705413,0.20110016
6400.0,1280.0,63,0.45,0.078928515,0.8388242,0.08506719,-13.137477,0.23,-14.63769,0.20107655
6500.0,1300.0,64,0.5,0.07939288,0.83894134,0.08499975,-11.003575,0.29,-15.825448,0.20105097
6600.0,1320.0,65,0.3,0.080198124,0.83901745,0.08514682,-15.745244,0.25,-15.737567,0.2009967
6700.0,1340.0,66,0.4,0.08079013,0.83898383,0.08529089,-13.134424,0.21,-15.314188,0.20095411
6800.0,1360.0,67,0.3,0.08115939,0.8389981,0.08539468,-12.9483,0.32,-12.061997,0.20097376
6900.0,1380.0,68,0.5,0.08145953,0.8390091,0.085550696,-11.072963,0.29,-13.412919,0.20098667
7000.0,1400.0,69,0.3,0.08209056,0.83907413,0.08563176,-11.857473,0.24,-14.576293,0.20098682
7100.0,1420.0,70,0.15,0.082814306,0.8391165,0.08558043,-15.909636,0.3,-13.362458,0.20092876
7200.0,1440.0,71,0.4,0.08304615,0.8392249,0.08551546,-11.938802,0.31,-13.5861845,0.20097134
7300.0,1460.0,72,0.4,0.083383285,0.8392269,0.0856297,-9.5453005,0.41,-12.911848,0.20099682
7400.0,1480.0,73,0.45,0.08394408,0.8392656,0.085900515,-8.305699,0.37,-12.623238,0.20097993
7500.0,1500.0,74,0.45,0.08417354,0.839341,0.0857752,-14.157389,0.38,-11.679004,0.20097543
7600.0,1520.0,75,0.45,0.08475852,0.83942795,0.08582183,-10.393794,0.26,-12.915305,0.20096086
7700.0,1540.0,76,0.35,0.08535171,0.83941776,0.08596667,-13.8606615,0.42,-10.945741,0.20095998
7800.0,1560.0,77,0.25,0.08605144,0.83940977,0.08580712,-12.254725,0.49,-9.474573,0.20089033
7900.0,1580.0,78,0.45,0.086750194,0.8395925,0.08574065,-12.142817,0.39,-10.913647,0.20092916
8000.0,1600.0,79,0.6,0.08755346,0.83962584,0.08579708,-8.478273,0.4,-11.297041,0.20091914
8100.0,1620.0,80,0.45,0.08792173,0.8395691,0.08573037,-8.4806,0.42,-9.371338,0.20087723
8200.0,1640.0,81,0.7,0.08841882,0.8396406,0.08555102,-7.7338424,0.46,-8.655572,0.20089388
8300.0,1660.0,82,0.65,0.08906512,0.8396191,0.08554208,-7.821746,0.53,-7.9408097,0.20087093
8400.0,1680.0,83,0.55,0.08954702,0.83954406,0.08563656,-7.6591864,0.38,-10.93338,0.20087908
8500.0,1700.0,84,0.6,0.090288036,0.83951426,0.08580399,-5.8389564,0.39,-9.208279,0.20084538
8600.0,1720.0,85,0.6,0.09093543,0.83951396,0.08569602,-8.875599,0.54,-7.834958,0.20079505
8700.0,1740.0,86,0.85,0.091659196,0.8395221,0.0856779,-4.069516,0.53,-7.004912,0.20070246
8800.0,1760.0,87,0.6,0.09239272,0.83952093,0.08560688,-6.8676043,0.46,-8.106416,0.20066936
8900.0,1780.0,88,0.6,0.09311608,0.8395768,0.08572903,-6.3484464,0.48,-8.237002,0.20072305
9000.0,1800.0,89,0.75,0.09379993,0.8396108,0.08578492,-5.693478,0.43,-7.892353,0.20077074
9100.0,1820.0,90,0.6,0.09444354,0.839639,0.08585747,-5.993591,0.5,-7.9771514,0.2007684
9200.0,1840.0,91,0.9,0.09494442,0.8396484,0.085693,-4.2686396,0.59,-6.735292,0.20067483
9300.0,1860.0,92,0.8,0.0958108,0.83966684,0.085963905,-4.387197,0.52,-8.352815,0.20064485
9400.0,1880.0,93,0.8,0.096496515,0.83970976,0.08624936,-4.5711374,0.55,-8.175361,0.20064038
9500.0,1900.0,94,0.8,0.09700662,0.8396277,0.08613977,-3.4059112,0.64,-5.833194,0.20068592
9600.0,1920.0,95,0.65,0.09752681,0.839549,0.08615903,-5.3654113,0.63,-5.853621,0.20063569
9700.0,1940.0,96,0.75,0.09794045,0.83959264,0.086159796,-4.585158,0.57,-6.379344,0.20063156
9800.0,1960.0,97,0.75,0.09839982,0.8396254,0.086123876,-5.552472,0.6,-5.8372664,0.20058961
9900.0,1980.0,98,0.8,0.09892093,0.83961695,0.08596925,-4.062746,0.74,-5.0051684,0.20058611
10000.0,2000.0,99,0.8,0.099570535,0.83959866,0.08592098,-3.597921,0.62,-5.796356,0.20054212
10100.0,2020.0,100,0.8,0.10004424,0.8396366,0.08584649,-3.8821824,0.64,-5.327004,0.20051068
10200.0,2040.0,101,0.95,0.10054141,0.839585,0.08588984,-2.7460728,0.7,-5.3571434,0.20048875
10300.0,2060.0,102,0.8,0.10103328,0.839602,0.08577839,-4.043298,0.71,-5.067783,0.20050028
10400.0,2080.0,103,0.75,0.101618506,0.8396606,0.08583618,-4.378739,0.53,-5.842661,0.20055233
10500.0,2100.0,104,0.7,0.10200549,0.8396861,0.08582538,-4.465289,0.77,-4.970178,0.20055494
10600.0,2120.0,105,0.7,0.102465846,0.83970827,0.08570013,-4.2501698,0.72,-4.6546173,0.20062281
10700.0,2140.0,106,0.75,0.10287595,0.8396662,0.08564621,-4.778598,0.74,-4.897818,0.20062876
10800.0,2160.0,107,0.85,0.103174545,0.8396843,0.08549894,-3.432434,0.8,-3.9364038,0.20066711
10900.0,2180.0,108,0.95,0.10352864,0.83962345,0.085485905,-2.4897304,0.7,-4.510818,0.20061354
11000.0,2200.0,109,0.8,0.10398497,0.83961487,0.085453145,-5.787033,0.78,-4.7229505,0.20058069
11100.0,2220.0,110,0.95,0.104418665,0.83960503,0.08553784,-2.2636874,0.75,-5.0518675,0.20063166
11200.0,2240.0,111,0.95,0.1047626,0.83959746,0.08554396,-2.2676044,0.68,-4.791368,0.20065847
11300.0,2260.0,112,0.95,0.105026506,0.8396004,0.08542887,-2.199492,0.79,-3.8783634,0.20068155
11400.0,2280.0,113,0.85,0.105399646,0.8395198,0.08539555,-2.4069173,0.79,-3.9767387,0.20058818
11500.0,2300.0,114,1.0,0.1056427,0.83947635,0.085434675,-2.080315,0.79,-4.270344,0.2005781
11600.0,2320.0,115,0.95,0.106144115,0.83946943,0.08536708,-2.3427575,0.79,-3.9718888,0.20054196
11700.0,2340.0,116,0.9,0.106471844,0.8394189,0.085296385,-2.9807138,0.77,-4.1289005,0.20053203
11800.0,2360.0,117,0.95,0.1067429,0.83933836,0.08538237,-1.4570258,0.79,-3.9734762,0.20051812
11900.0,2380.0,118,1.0,0.10707945,0.8393104,0.08532684,-1.5621784,0.77,-4.0832005,0.20053841
12000.0,2400.0,119,1.0,0.107403114,0.83926845,0.085212015,-1.6843363,0.8,-3.4929948,0.2005474
12100.0,2420.0,120,0.85,0.107752435,0.8392386,0.0851446,-3.9044232,0.82,-3.989542,0.20061219
12200.0,2440.0,121,0.85,0.10810124,0.839227,0.08503192,-2.192867,0.76,-3.9857535,0.20060015
12300.0,2460.0,122,1.0,0.10819163,0.8392107,0.08506888,-2.0338159,0.88,-3.3972256,0.20060392
12400.0,2480.0,123,1.0,0.108492196,0.8392709,0.08508577,-2.0280938,0.79,-3.8750477,0.2006009
12500.0,2500.0,124,0.9,0.10863167,0.83927613,0.085096,-2.4325185,0.85,-3.4481256,0.2006206
12600.0,2520.0,125,0.9,0.10897847,0.83925146,0.08506375,-1.9205453,0.83,-3.8370438,0.20061731
12700.0,2540.0,126,0.95,0.109225534,0.83925134,0.08495125,-1.8967909,0.86,-3.340027,0.20070218
12800.0,2560.0,127,1.0,0.10936737,0.839226,0.0848957,-1.9457804,0.89,-2.839818,0.20069619
12900.0,2580.0,128,1.0,0.10942712,0.83923656,0.0848208,-1.875783,0.92,-2.75739,0.20070125
13000.0,2600.0,129,1.0,0.109590426,0.83919567,0.08475397,-1.2609599,0.88,-2.8343427,0.20070438
13100.0,2620.0,130,0.95,0.10979456,0.83921844,0.084722124,-1.7131913,0.88,-2.866359,0.2007119
13200.0,2640.0,131,0.95,0.11005616,0.8391989,0.08466387,-1.4521588,0.87,-3.1482515,0.20073803
13300.0,2660.0,132,0.95,0.11027248,0.8391653,0.08459184,-1.4608684,0.88,-3.0229023,0.20071104
13400.0,2680.0,133,1.0,0.11026332,0.8391983,0.08453826,-1.5935405,0.93,-2.776848,0.20072861
13500.0,2700.0,134,1.0,0.110402994,0.8391909,0.08441451,-0.9999574,0.91,-2.7033637,0.20068598
13600.0,2720.0,135,0.95,0.110485755,0.83917445,0.08445533,-1.3890909,0.9,-3.2835584,0.2006532
13700.0,2740.0,136,0.95,0.11058461,0.83918047,0.084347874,-2.72711,0.94,-2.344523,0.20063674
13800.0,2760.0,137,0.95,0.11073937,0.83919805,0.084264636,-1.4844999,0.92,-2.6521277,0.20061329
13900.0,2780.0,138,1.0,0.1109769,0.8391847,0.084403865,-1.969361,0.9,-3.691221,0.20064369
14000.0,2800.0,139,0.95,0.1110567,0.83919525,0.08433255,-1.3706316,0.95,-2.405829,0.2006806
14100.0,2820.0,140,0.95,0.111048765,0.839191,0.084200464,-2.7500334,0.96,-2.4020834,0.20067172
14200.0,2840.0,141,1.0,0.11102187,0.83917505,0.08409331,-1.1252441,0.92,-2.3565795,0.20068769
14300.0,2860.0,142,1.0,0.11106124,0.8391536,0.084002845,-1.2688749,0.94,-2.3639066,0.20067579
14400.0,2880.0,143,1.0,0.11108604,0.83913654,0.0838966,-1.0870045,0.96,-2.3481479,0.20068859
14500.0,2900.0,144,0.95,0.11118169,0.83907527,0.08386587,-2.0443673,0.93,-2.743212,0.20068541
14600.0,2920.0,145,1.0,0.11121221,0.8390551,0.08376679,-1.6622976,0.97,-2.4149,0.20067316
14700.0,2940.0,146,1.0,0.111314915,0.839053,0.0836682,-1.3883479,0.95,-2.4171033,0.20068811
14800.0,2960.0,147,1.0,0.11141297,0.83910614,0.08358111,-1.4054232,0.94,-2.4122643,0.2007161
14900.0,2980.0,148,1.0,0.111414574,0.83910155,0.083629765,-1.2189844,0.91,-2.9293242,0.20067297
15000.0,3000.0,149,1.0,0.11135053,0.8390932,0.08353263,-1.3451622,0.94,-2.2673109,0.20069048
15100.0,3020.0,150,1.0,0.11142717,0.83909106,0.08341548,-1.3342873,0.91,-2.5091033,0.20068426
15200.0,3040.0,151,1.0,0.11157077,0.83915067,0.08337018,-1.0188019,0.9,-2.6515927,0.20067295
15300.0,3060.0,152,1.0,0.111690566,0.8391301,0.08337446,-1.4713384,0.93,-2.5831923,0.20065364
15400.0,3080.0,153,1.0,0.11167748,0.8390982,0.08328215,-0.92908335,0.93,-2.6158712,0.20066582
15500.0,3100.0,154,1.0,0.11178033,0.8390972,0.083270416,-1.2574245,0.93,-2.6472633,0.20064782
15600.0,3120.0,155,0.95,0.11174682,0.8391203,0.08320058,-1.2997787,0.96,-2.156877,0.20062494
15700.0,3140.0,156,1.0,0.11177987,0.8390953,0.08315089,-1.3507373,0.93,-2.3923368,0.2006109
15800.0,3160.0,157,1.0,0.11181107,0.8391171,0.08315372,-1.1749358,0.86,-2.7760258,0.20060404
15900.0,3180.0,158,1.0,0.111900434,0.839118,0.08311064,-1.2517601,0.92,-2.8213446,0.20062448
16000.0,3200.0,159,1.0,0.111968204,0.83911115,0.0830782,-1.5521055,0.92,-2.5718255,0.2005908
16100.0,3220.0,160,1.0,0.11205945,0.83909386,0.08304703,-1.2570155,0.93,-2.4366713,0.20059599
16200.0,3240.0,161,1.0,0.11211301,0.83911246,0.08300903,-1.0235196,0.94,-2.5683706,0.20061515
16300.0,3260.0,162,1.0,0.11213466,0.83913153,0.083018236,-1.1568499,0.91,-2.8979275,0.20060879
16400.0,3280.0,163,1.0,0.1121391,0.8391188,0.083015464,-0.9331107,0.91,-2.5740273,0.20061076
16500.0,3300.0,164,1.0,0.11216541,0.8391246,0.08298647,-1.1741451,0.92,-2.3497796,0.20066828
16600.0,3320.0,165,1.0,0.11217156,0.8391363,0.08291086,-1.0175998,0.92,-2.2857308,0.2006823
16700.0,3340.0,166,1.0,0.11222697,0.8391145,0.08283573,-1.3330238,0.95,-2.4396694,0.20073198
16800.0,3360.0,167,1.0,0.112352684,0.8391723,0.08280191,-1.5666952,0.91,-2.5331097,0.2007759
16900.0,3380.0,168,1.0,0.1123364,0.83917665,0.082762815,-1.2875365,0.93,-2.3736014,0.20076023
17000.0,3400.0,169,1.0,0.11235454,0.8391718,0.08270737,-1.1289866,0.95,-2.4050848,0.20077853
17100.0,3420.0,170,1.0,0.112400204,0.8391548,0.082632765,-1.2886221,0.97,-2.1513996,0.20079485
17200.0,3440.0,171,1.0,0.11238006,0.8392009,0.08254515,-1.2828597,0.93,-2.2067757,0.20084755
17300.0,3460.0,172,1.0,0.112410806,0.83918,0.08247874,-0.9901638,0.94,-2.4255826,0.20084897
17400.0,3480.0,173,1.0,0.112462,0.83917284,0.08245129,-1.0248435,0.9,-2.677732,0.20083025
17500.0,3500.0,174,1.0,0.11246111,0.8391783,0.0823671,-1.225969,0.93,-2.1119485,0.20083906
17600.0,3520.0,175,1.0,0.11242996,0.83918446,0.08228343,-0.9742414,0.97,-2.3964531,0.20082897
17700.0,3540.0,176,1.0,0.11251282,0.8392431,0.08218846,-1.0341092,0.95,-1.9805626,0.20086658
17800.0,3560.0,177,1.0,0.11255734,0.8392274,0.082105994,-0.99130595,0.92,-2.3038273,0.20086093
17900.0,3580.0,178,1.0,0.112609126,0.8392361,0.0821416,-1.532208,0.91,-2.6487503,0.20087549
18000.0,3600.0,179,1.0,0.1125821,0.83921367,0.08214567,-1.3908012,0.91,-2.6165729,0.20085675
18100.0,3620.0,180,1.0,0.11261821,0.8391771,0.082122624,-1.4118657,0.93,-2.4686823,0.20083916
18200.0,3640.0,181,0.95,0.11256825,0.83918476,0.08204159,-1.4155248,0.97,-2.0859113,0.20083527
18300.0,3660.0,182,1.0,0.112544276,0.83914334,0.08195144,-1.4470713,0.95,-2.230142,0.20084459
18400.0,3680.0,183,1.0,0.11266797,0.8392082,0.08187668,-1.163999,0.93,-2.351899,0.20091204
18500.0,3700.0,184,1.0,0.1126227,0.839171,0.08181688,-1.1946719,0.92,-2.3292654,0.20092669
18600.0,3720.0,185,1.0,0.11267051,0.8391805,0.08173498,-1.3053578,0.97,-2.1270864,0.20094435
18700.0,3740.0,186,1.0,0.11274073,0.8391428,0.08166388,-1.041265,0.97,-2.1643364,0.20095442
18800.0,3760.0,187,1.0,0.11274362,0.8391829,0.08165621,-1.3883142,0.93,-2.3567507,0.20095545
18900.0,3780.0,188,0.95,0.1127038,0.8391795,0.08160699,-1.4046267,0.95,-2.0879736,0.20093916
19000.0,3800.0,189,1.0,0.11270986,0.8391411,0.08161875,-1.2243918,0.97,-2.361629,0.20092934
19100.0,3820.0,190,1.0,0.11270101,0.839142,0.0815518,-0.9728823,0.94,-2.2216184,0.20093848
19200.0,3840.0,191,1.0,0.11271733,0.8391111,0.08153799,-1.2431555,0.94,-2.1782327,0.20093496
19300.0,3860.0,192,1.0,0.11272393,0.8391192,0.08146813,-1.1209586,0.96,-2.0518696,0.2009577
19400.0,3880.0,193,1.0,0.112757385,0.8390824,0.08143166,-0.99589175,0.96,-2.2610946,0.20097467
19500.0,3900.0,194,0.95,0.11271324,0.83905053,0.08140076,-2.5937836,0.92,-2.3938594,0.20098963
19600.0,3920.0,195,1.0,0.1127096,0.83904785,0.081336305,-1.247858,0.95,-2.1173813,0.20096682
19700.0,3940.0,196,0.95,0.11272002,0.839026,0.08129545,-1.2039189,0.93,-2.3823206,0.20096992
19800.0,3960.0,197,1.0,0.11280427,0.8390238,0.08130521,-1.0559876,0.92,-3.0222259,0.2009855
19900.0,3980.0,198,1.0,0.112812735,0.83900183,0.08125808,-1.1000941,0.97,-2.0274718,0.20098886
20000.0,4000.0,199,1.0,0.11278989,0.8390014,0.081224956,-1.2773054,0.92,-2.4371498,0.20099519
