train/episode,stats_o/mean,train/success_rate,test/episode,train/mean_Q,epoch,stats_o/std,stats_g/std,stats_g/mean,test/mean_Q,test/success_rate
100.0,0.20195049,0.05,20.0,-1.3960193,0,0.056846924,0.07271319,0.83768564,-1.7134444,0.1
200.0,0.20158064,0.12,40.0,-3.1027386,1,0.052612327,0.0718872,0.83721536,-3.854651,0.0
300.0,0.20128016,0.05,60.0,-5.022723,2,0.049210314,0.07124891,0.836853,-4.982157,0.1
400.0,0.20186362,0.08,80.0,-6.4159966,3,0.052003287,0.073882975,0.83877134,-7.061953,0.05
500.0,0.20245838,0.09,100.0,-8.282953,4,0.05263454,0.07369564,0.84048986,-9.28766,0.0
600.0,0.20216882,0.04,120.0,-10.600256,5,0.053503193,0.075362064,0.839971,-9.986073,0.1
700.0,0.20202021,0.05,140.0,-11.353794,6,0.053623904,0.0754556,0.8393437,-9.532918,0.2
800.0,0.20196266,0.09,160.0,-11.889514,7,0.054214098,0.076439545,0.8390389,-11.513599,0.15
900.0,0.20161791,0.09,180.0,-14.186965,8,0.0559514,0.07729963,0.83841276,-14.353819,0.1
1000.0,0.20143582,0.11,200.0,-14.715859,9,0.05660966,0.07716006,0.8378506,-15.088165,0.05
1100.0,0.20150061,0.08,220.0,-15.567247,10,0.056947384,0.07691042,0.8381901,-12.810246,0.15
1200.0,0.2013442,0.11,240.0,-16.863722,11,0.0572125,0.07637153,0.8378361,-17.9917,0.0
1300.0,0.20137922,0.06,260.0,-18.550554,12,0.057550155,0.07587833,0.83809406,-17.908398,0.05
1400.0,0.20130041,0.08,280.0,-19.569862,13,0.057144772,0.075548165,0.8378894,-18.831202,0.1
1500.0,0.20125158,0.07,300.0,-20.411346,14,0.05725333,0.07563093,0.8377404,-18.61118,0.05
1600.0,0.201337,0.06,320.0,-20.692898,15,0.058232855,0.076372094,0.83799386,-21.970728,0.05
1700.0,0.2014291,0.06,340.0,-21.96751,16,0.058922272,0.076209046,0.83841354,-17.617811,0.15
1800.0,0.2015364,0.13,360.0,-20.103918,17,0.06000006,0.07632879,0.83846563,-21.887108,0.15
1900.0,0.20148464,0.1,380.0,-20.107006,18,0.06060815,0.07611898,0.8380719,-17.786572,0.2
2000.0,0.20147325,0.11,400.0,-21.228767,19,0.06068843,0.07593537,0.8379822,-17.62965,0.15
2100.0,0.20155227,0.07,420.0,-23.494944,20,0.061390173,0.07603822,0.8383027,-22.803043,0.0
2200.0,0.20150118,0.07,440.0,-22.701777,21,0.06224067,0.07635598,0.8383079,-20.573982,0.2
2300.0,0.2012605,0.12,460.0,-22.500477,22,0.06284632,0.07632921,0.83794564,-22.370783,0.1
2400.0,0.20122698,0.15,480.0,-22.104647,23,0.06387538,0.07654053,0.8377235,-23.083897,0.15
2500.0,0.20127057,0.11,500.0,-22.378601,24,0.0651268,0.076602146,0.83788615,-21.493801,0.1
2600.0,0.20136279,0.11,520.0,-22.038277,25,0.06538564,0.07631681,0.83823997,-20.569424,0.1
2700.0,0.20122242,0.21,540.0,-20.096487,26,0.06614732,0.07617253,0.8381753,-29.431112,0.0
2800.0,0.20124224,0.09,560.0,-21.089478,27,0.06654371,0.07653537,0.83823496,-16.837818,0.05
2900.0,0.20120327,0.1,580.0,-22.832207,28,0.06733957,0.07668833,0.83820564,-20.68968,0.15
3000.0,0.20128551,0.13,600.0,-22.76521,29,0.067641646,0.076842174,0.8383519,-22.845518,0.1
3100.0,0.2013112,0.12,620.0,-20.222366,30,0.06925815,0.07671737,0.8382974,-18.241062,0.2
3200.0,0.20133372,0.1,640.0,-21.854542,31,0.070212096,0.07747139,0.8385711,-21.707325,0.1
3300.0,0.2015065,0.15,660.0,-19.379786,32,0.07100037,0.07763972,0.83896464,-20.222103,0.1
3400.0,0.20152499,0.13,680.0,-22.208567,33,0.071693085,0.07767663,0.8392472,-19.153769,0.3
3500.0,0.20170337,0.14,700.0,-21.443838,34,0.07289908,0.07759566,0.8393974,-16.177296,0.2
3600.0,0.201737,0.15,720.0,-19.877539,35,0.07319884,0.077341616,0.83967775,-19.656464,0.2
3700.0,0.20181829,0.2,740.0,-20.51745,36,0.073839664,0.077734716,0.83977133,-17.210217,0.2
3800.0,0.2019206,0.18,760.0,-21.354895,37,0.07469615,0.077877335,0.8400133,-15.017006,0.45
3900.0,0.20192063,0.24,780.0,-18.55043,38,0.075315505,0.077672146,0.8401382,-15.687726,0.3
4000.0,0.20205115,0.27,800.0,-17.21296,39,0.07686709,0.07771553,0.84005123,-15.097247,0.25
4100.0,0.20217995,0.22,820.0,-17.331951,40,0.07818495,0.07805296,0.8400418,-14.075249,0.35
4200.0,0.20227772,0.24,840.0,-14.4753275,41,0.079016104,0.07794329,0.8400355,-14.3949795,0.25
4300.0,0.20235245,0.22,860.0,-15.956189,42,0.08053268,0.07800689,0.8401658,-10.801524,0.55
4400.0,0.20240769,0.35,880.0,-11.991277,43,0.08139832,0.07792891,0.840293,-15.217328,0.35
4500.0,0.20248121,0.38,900.0,-12.983358,44,0.08287114,0.07810956,0.84034634,-8.285765,0.6
4600.0,0.20249532,0.43,920.0,-12.494238,45,0.08408253,0.07806118,0.84051687,-11.116342,0.55
4700.0,0.2024829,0.39,940.0,-11.889897,46,0.085011095,0.077831894,0.8405688,-8.8795395,0.5
4800.0,0.20263278,0.42,960.0,-10.717476,47,0.085721195,0.07759047,0.8406157,-8.292954,0.45
4900.0,0.20271906,0.43,980.0,-8.044003,48,0.08648114,0.07746329,0.8406572,-5.7098465,0.65
5000.0,0.20270662,0.5,1000.0,-7.6408973,49,0.08682248,0.07720434,0.8408291,-6.993226,0.65
5100.0,0.20271164,0.4,1020.0,-9.830749,50,0.08759413,0.07704573,0.84105235,-9.058152,0.45
5200.0,0.202734,0.46,1040.0,-9.403045,51,0.08857955,0.077037804,0.8412667,-9.157659,0.4
5300.0,0.20284346,0.58,1060.0,-8.728667,52,0.089584015,0.0769443,0.8413159,-7.294416,0.7
5400.0,0.20284878,0.58,1080.0,-8.02093,53,0.09009297,0.07696098,0.84138304,-8.505176,0.4
5500.0,0.20270306,0.55,1100.0,-8.45755,54,0.09104678,0.07694447,0.841394,-5.810532,0.75
5600.0,0.20281465,0.61,1120.0,-6.693369,55,0.09182218,0.076809,0.8414926,-7.172938,0.55
5700.0,0.20281596,0.64,1140.0,-6.809148,56,0.092399664,0.07667641,0.84156805,-4.174035,0.8
5800.0,0.20283787,0.72,1160.0,-5.344757,57,0.093005,0.07649846,0.8416319,-6.34646,0.6
5900.0,0.20276299,0.56,1180.0,-6.8580475,58,0.093889706,0.076301776,0.8415866,-4.349563,0.75
6000.0,0.20277779,0.65,1200.0,-6.7642927,59,0.09443721,0.076196365,0.8416069,-3.804067,0.75
6100.0,0.20286906,0.72,1220.0,-5.5542145,60,0.09499142,0.07607599,0.84167385,-3.2649071,0.95
6200.0,0.20290345,0.68,1240.0,-6.1949396,61,0.09582415,0.07591871,0.84172696,-2.1748147,0.9
6300.0,0.20287426,0.7,1260.0,-4.249033,62,0.095993385,0.07574711,0.8416676,-3.5882912,0.75
6400.0,0.20283006,0.84,1280.0,-4.682681,63,0.09647094,0.07566566,0.84158903,-3.3937728,0.8
6500.0,0.20289421,0.69,1300.0,-5.7128773,64,0.09714957,0.075474165,0.8415587,-2.134848,1.0
6600.0,0.20292236,0.76,1320.0,-4.22513,65,0.09752208,0.075267434,0.8415282,-4.6027474,0.75
6700.0,0.20297386,0.81,1340.0,-4.1304464,66,0.09787702,0.07524338,0.8414826,-1.820225,1.0
6800.0,0.20294708,0.8,1360.0,-3.5202034,67,0.09781942,0.07507739,0.84147304,-2.9027832,0.8
6900.0,0.20291351,0.85,1380.0,-3.9966376,68,0.09804971,0.07495579,0.84146166,-2.924794,0.85
7000.0,0.20297073,0.77,1400.0,-4.690858,69,0.098547675,0.07499211,0.8414807,-2.986641,0.85
7100.0,0.20293897,0.87,1420.0,-3.5685112,70,0.09865466,0.07483875,0.8414448,-2.4436479,0.85
7200.0,0.20299006,0.79,1440.0,-4.401167,71,0.099305876,0.07488052,0.8413957,-2.8686795,0.85
7300.0,0.20296231,0.89,1460.0,-3.1910143,72,0.09947944,0.07471911,0.84139675,-1.8043368,0.9
7400.0,0.20302425,0.89,1480.0,-3.2668498,73,0.099580504,0.074542426,0.8414256,-1.6997087,1.0
7500.0,0.2029929,0.85,1500.0,-3.4664862,74,0.09996544,0.074431755,0.8413782,-2.8541706,0.8
7600.0,0.20305751,0.81,1520.0,-3.613166,75,0.100160114,0.0742884,0.8413437,-2.0389302,0.9
7700.0,0.2030807,0.89,1540.0,-3.355209,76,0.10037353,0.0742535,0.84132975,-1.9045368,1.0
7800.0,0.2031239,0.92,1560.0,-2.9841974,77,0.10057323,0.07411951,0.8413039,-2.0281289,0.9
7900.0,0.20313045,0.85,1580.0,-3.244011,78,0.100841634,0.07404679,0.8412954,-2.6041481,0.9
8000.0,0.2031887,0.91,1600.0,-3.0836976,79,0.10085574,0.0739049,0.8412519,-1.4598424,1.0
8100.0,0.20324463,0.9,1620.0,-3.0818186,80,0.100960605,0.07379865,0.84121126,-1.3304424,1.0
8200.0,0.20322372,0.89,1640.0,-2.784172,81,0.10111449,0.0736373,0.84119767,-1.3782732,1.0
8300.0,0.2031397,0.93,1660.0,-3.0831165,82,0.101296484,0.07362418,0.8412061,-1.8662246,0.95
8400.0,0.20313996,0.86,1680.0,-3.4179916,83,0.10146972,0.07356957,0.84123355,-1.4176987,1.0
8500.0,0.20315543,0.87,1700.0,-3.0270648,84,0.1015282,0.07350322,0.84123063,-1.5137752,0.95
8600.0,0.20315294,0.94,1720.0,-2.7825422,85,0.10165977,0.0733772,0.84120756,-1.5499632,1.0
8700.0,0.20317301,0.85,1740.0,-2.6829453,86,0.10186385,0.07325881,0.84118104,-1.0993034,1.0
8800.0,0.20317344,0.87,1760.0,-3.219773,87,0.10196361,0.073183805,0.84117794,-1.8800735,1.0
8900.0,0.2031361,0.93,1780.0,-2.771395,88,0.10213308,0.073093675,0.84116787,-4.1609907,0.9
9000.0,0.20311055,0.89,1800.0,-2.9586875,89,0.102332585,0.07303829,0.84116864,-1.4165878,1.0
9100.0,0.20305076,0.94,1820.0,-2.8928885,90,0.102660425,0.072921164,0.8411341,-1.3513246,1.0
9200.0,0.20302731,0.95,1840.0,-3.1197796,91,0.102884576,0.07281939,0.8411286,-1.4141077,1.0
9300.0,0.20302221,0.93,1860.0,-2.7387807,92,0.10294873,0.072704315,0.841139,-1.6607292,1.0
9400.0,0.20298786,0.95,1880.0,-2.9907773,93,0.103021756,0.07264529,0.8411053,-1.3772084,1.0
9500.0,0.20300037,0.94,1900.0,-2.552108,94,0.103156045,0.07255533,0.84105355,-1.1176715,1.0
9600.0,0.20291199,0.9,1920.0,-2.7940392,95,0.10320722,0.07253226,0.8409726,-1.0263898,1.0
9700.0,0.20291936,0.97,1940.0,-2.7421165,96,0.10321225,0.072418466,0.84096384,-1.4732299,1.0
9800.0,0.20289382,0.95,1960.0,-2.391343,97,0.103215955,0.072326966,0.840931,-1.510001,1.0
9900.0,0.20292972,0.89,1980.0,-2.7382717,98,0.10334769,0.07225835,0.8409117,-1.5272515,1.0
10000.0,0.20292509,0.96,2000.0,-2.4934397,99,0.103484124,0.07217293,0.84091836,-1.1540077,1.0
10100.0,0.20289755,0.9,2020.0,-2.857597,100,0.10354768,0.07222163,0.8409233,-1.1825498,1.0
10200.0,0.20289825,0.95,2040.0,-2.2110696,101,0.10361938,0.0721188,0.84087676,-1.3977362,1.0
10300.0,0.20288706,0.92,2060.0,-2.783397,102,0.10374351,0.07211403,0.8408844,-1.6737283,1.0
10400.0,0.20283918,0.97,2080.0,-2.441691,103,0.10371434,0.07202549,0.84090453,-1.4502026,1.0
10500.0,0.20284458,0.96,2100.0,-2.3953958,104,0.10380837,0.071938224,0.84092575,-1.3377434,1.0
10600.0,0.20282744,0.98,2120.0,-2.489445,105,0.10390299,0.07186744,0.8409174,-1.0940579,1.0
10700.0,0.20285325,0.96,2140.0,-2.9249663,106,0.10400771,0.07183089,0.8409012,-1.1632241,1.0
10800.0,0.20285112,0.93,2160.0,-2.7306376,107,0.10426309,0.07182271,0.8408904,-1.3856218,1.0
10900.0,0.20287418,0.92,2180.0,-2.4974983,108,0.10434865,0.07174005,0.8408239,-1.5130608,1.0
11000.0,0.20289005,0.9,2200.0,-2.5018587,109,0.104521416,0.07164881,0.8408117,-1.5209568,1.0
11100.0,0.20286635,0.94,2220.0,-2.3300428,110,0.10458823,0.07154224,0.8408192,-1.3181919,1.0
11200.0,0.20287639,0.93,2240.0,-2.7311792,111,0.10462847,0.07146743,0.8408139,-1.6299753,0.95
11300.0,0.20283012,0.91,2260.0,-2.2854252,112,0.1046272,0.07138189,0.84081846,-1.0434695,1.0
11400.0,0.20280308,0.91,2280.0,-2.7037823,113,0.10480853,0.071371734,0.8407736,-1.1049879,1.0
11500.0,0.2027883,0.88,2300.0,-2.4680903,114,0.10492036,0.07128594,0.84077597,-1.4804196,1.0
11600.0,0.20279706,0.93,2320.0,-2.8082442,115,0.1050706,0.07125086,0.8407912,-1.5606556,1.0
11700.0,0.20280124,0.97,2340.0,-2.60159,116,0.10513141,0.07125275,0.84074944,-0.9337041,1.0
11800.0,0.20277955,0.99,2360.0,-2.0388165,117,0.10509031,0.07117372,0.8406952,-1.0888225,1.0
11900.0,0.20274755,0.9,2380.0,-2.7196012,118,0.10515533,0.0711279,0.8406625,-1.2034518,1.0
12000.0,0.20276138,0.95,2400.0,-2.1559792,119,0.10521522,0.071038544,0.840646,-1.0726514,1.0
12100.0,0.2027307,0.92,2420.0,-2.5005774,120,0.10532192,0.070950754,0.8406516,-1.389721,1.0
12200.0,0.20273203,0.97,2440.0,-2.3636842,121,0.10531647,0.070854224,0.84064156,-1.4686596,1.0
12300.0,0.20275696,0.97,2460.0,-2.2312977,122,0.10538516,0.07083248,0.84063554,-1.2794853,1.0
12400.0,0.20270027,0.98,2480.0,-2.1867368,123,0.10539985,0.0707693,0.84066796,-1.6245979,0.95
12500.0,0.2026838,0.93,2500.0,-2.8268876,124,0.105442055,0.070718385,0.84067506,-1.2625194,1.0
12600.0,0.20263581,0.93,2520.0,-2.7191815,125,0.105560444,0.07064856,0.8406489,-1.0202893,1.0
12700.0,0.2026443,0.91,2540.0,-2.769809,126,0.10563323,0.07061072,0.84065336,-1.677944,0.95
12800.0,0.20260145,0.92,2560.0,-2.4835343,127,0.105635196,0.070613116,0.8406296,-1.451252,1.0
12900.0,0.202563,0.92,2580.0,-2.7875984,128,0.105817765,0.070645176,0.8406295,-1.4287407,1.0
13000.0,0.20256697,0.91,2600.0,-2.4062226,129,0.10597305,0.070576064,0.8406208,-0.9696349,1.0
13100.0,0.20253691,0.94,2620.0,-2.4110923,130,0.10596509,0.07054243,0.8406443,-1.1860466,1.0
13200.0,0.20252942,0.97,2640.0,-2.4023538,131,0.106019594,0.070485435,0.8405971,-0.8943752,1.0
13300.0,0.20250915,0.95,2660.0,-2.4607213,132,0.10606012,0.07050393,0.8405635,-1.205147,1.0
13400.0,0.2025267,0.95,2680.0,-2.0939972,133,0.106122084,0.07042212,0.8405678,-2.4971316,0.95
13500.0,0.20252249,0.94,2700.0,-2.2535572,134,0.10615675,0.070354015,0.84055775,-1.1053132,1.0
13600.0,0.20249744,0.96,2720.0,-2.182135,135,0.106128156,0.07029558,0.8405559,-1.055946,1.0
13700.0,0.202475,0.98,2740.0,-2.3397636,136,0.10631481,0.070218615,0.8405635,-1.1719201,1.0
13800.0,0.20246524,0.89,2760.0,-2.5105276,137,0.10633807,0.07015421,0.84056735,-1.3843143,0.95
13900.0,0.20246759,0.95,2780.0,-2.1652288,138,0.10640743,0.070077576,0.8406016,-1.2467561,1.0
14000.0,0.20248052,0.92,2800.0,-2.8966818,139,0.10648839,0.07015435,0.8406172,-1.152633,1.0
14100.0,0.20252788,0.98,2820.0,-2.2257943,140,0.10652243,0.07006788,0.8406251,-1.4313774,1.0
14200.0,0.20254692,0.9,2840.0,-2.8151453,141,0.1067177,0.07007449,0.8406034,-0.928737,1.0
14300.0,0.20254378,0.91,2860.0,-2.2990556,142,0.10671684,0.07001515,0.84057355,-1.2136132,1.0
14400.0,0.20251551,0.93,2880.0,-2.381799,143,0.10687921,0.06998593,0.8405416,-1.2165085,1.0
14500.0,0.2024833,0.94,2900.0,-2.188459,144,0.10690533,0.06992516,0.8405029,-1.3320116,1.0
14600.0,0.20246896,0.96,2920.0,-2.1958582,145,0.10686561,0.06986869,0.84049505,-1.4954511,1.0
14700.0,0.20248398,0.93,2940.0,-2.692384,146,0.10695501,0.06987331,0.84050626,-1.3101361,1.0
14800.0,0.20248488,0.95,2960.0,-1.9916512,147,0.1069415,0.06983992,0.8405251,-1.2486217,1.0
14900.0,0.20243697,0.97,2980.0,-2.2837553,148,0.107063875,0.06981745,0.8405182,-1.1034424,1.0
15000.0,0.20242788,0.93,3000.0,-2.5128717,149,0.10712201,0.069816135,0.84048945,-1.3195486,1.0
15100.0,0.20239358,0.97,3020.0,-2.3754807,150,0.107097045,0.069763556,0.8404564,-1.0423954,1.0
15200.0,0.20240086,0.93,3040.0,-2.7421026,151,0.10710487,0.06982001,0.840518,-0.9355173,1.0
15300.0,0.20241867,0.97,3060.0,-2.2516966,152,0.1071477,0.06978003,0.8404965,-1.1573918,1.0
15400.0,0.20238332,0.93,3080.0,-2.7180068,153,0.1072032,0.06976638,0.84047014,-0.91613245,1.0
15500.0,0.20232369,0.96,3100.0,-2.207365,154,0.10719741,0.06973127,0.84045225,-1.2730349,1.0
15600.0,0.20234326,0.96,3120.0,-2.056585,155,0.107228115,0.06966163,0.8404615,-1.1561329,1.0
15700.0,0.20230497,0.93,3140.0,-2.3241851,156,0.10729269,0.06961776,0.84043235,-1.3401012,1.0
15800.0,0.20230308,0.95,3160.0,-2.3763435,157,0.107336305,0.069592476,0.84042317,-1.9118805,0.95
15900.0,0.20231602,0.94,3180.0,-2.1466193,158,0.107290804,0.06952674,0.84039164,-2.2710805,0.95
16000.0,0.20230979,0.98,3200.0,-2.1217268,159,0.107279025,0.069463216,0.84038275,-1.3460962,1.0
16100.0,0.2023159,0.95,3220.0,-2.5007122,160,0.107304156,0.06947121,0.840368,-1.1847333,1.0
16200.0,0.20228323,0.94,3240.0,-2.3722105,161,0.10736497,0.06946147,0.84037,-1.0251883,1.0
16300.0,0.2022797,0.95,3260.0,-2.16352,162,0.1073713,0.06940552,0.8403631,-1.0992587,1.0
16400.0,0.20227453,0.89,3280.0,-2.5508406,163,0.10736724,0.069379024,0.8403496,-0.84010696,1.0
16500.0,0.20230465,0.93,3300.0,-2.2004492,164,0.10743097,0.06935029,0.84035915,-1.3492154,0.95
16600.0,0.20229176,0.95,3320.0,-2.3286293,165,0.10749503,0.069321916,0.84036106,-1.0076026,1.0
16700.0,0.2022889,0.96,3340.0,-2.2610798,166,0.10746381,0.069270514,0.8403583,-1.2265167,1.0
16800.0,0.2022938,0.92,3360.0,-2.6424284,167,0.10754224,0.069234736,0.8404043,-1.5158243,1.0
16900.0,0.20230265,0.95,3380.0,-2.5049067,168,0.107555665,0.0692096,0.8404034,-1.3399633,1.0
17000.0,0.20229952,0.94,3400.0,-2.4057267,169,0.10754361,0.06915675,0.84040076,-1.170302,1.0
17100.0,0.20228413,0.92,3420.0,-2.6068182,170,0.107630804,0.069166705,0.8403604,-1.2706144,1.0
17200.0,0.20230319,0.92,3440.0,-2.7517517,171,0.10763803,0.06921103,0.84039813,-1.2837021,1.0
17300.0,0.20229633,0.95,3460.0,-2.3879604,172,0.10762538,0.06915542,0.84041023,-1.1110171,1.0
17400.0,0.20233046,0.92,3480.0,-2.5692086,173,0.10770276,0.06914325,0.84040254,-0.9867069,1.0
17500.0,0.20233202,0.93,3500.0,-2.4173825,174,0.10779806,0.06912147,0.8403972,-1.1263977,1.0
17600.0,0.20234238,0.95,3520.0,-2.4813519,175,0.107862405,0.0690876,0.8403991,-0.9083908,1.0
17700.0,0.20235546,0.97,3540.0,-2.4742084,176,0.107900344,0.069068685,0.84045774,-1.0618505,1.0
17800.0,0.20237568,0.93,3560.0,-2.3492477,177,0.107985646,0.06903246,0.84045666,-0.97909576,1.0
17900.0,0.2023837,0.93,3580.0,-2.9282258,178,0.10800802,0.06906846,0.8404575,-1.3577816,1.0
18000.0,0.20241381,0.97,3600.0,-2.1865394,179,0.1079745,0.069024086,0.840441,-1.203723,1.0
18100.0,0.20242949,0.94,3620.0,-2.194522,180,0.107982054,0.06898686,0.84043455,-0.9975985,1.0
18200.0,0.20243612,0.95,3640.0,-2.1224916,181,0.10797881,0.06895018,0.84043425,-1.0863954,1.0
18300.0,0.20242356,0.97,3660.0,-2.0751948,182,0.10800906,0.068887375,0.8404026,-1.5631596,1.0
18400.0,0.2024255,0.95,3680.0,-2.2166686,183,0.10800657,0.06887627,0.8404425,-1.0557092,1.0
18500.0,0.20243727,0.93,3700.0,-2.416942,184,0.10805401,0.06882385,0.8404153,-1.0641162,1.0
18600.0,0.20242739,0.97,3720.0,-2.1156695,185,0.10806216,0.068770595,0.84042054,-1.2029078,1.0
18700.0,0.2024225,0.94,3740.0,-2.3498173,186,0.108095534,0.06876796,0.8403845,-1.0759711,1.0
18800.0,0.2024335,0.92,3760.0,-2.532953,187,0.10807683,0.06877362,0.8404262,-1.2579495,1.0
18900.0,0.20242622,0.95,3780.0,-2.394952,188,0.10808181,0.06874239,0.8404443,-1.2520019,1.0
19000.0,0.20244011,0.96,3800.0,-2.1299706,189,0.10807715,0.06874857,0.8404096,-1.0914636,1.0
19100.0,0.20246086,0.93,3820.0,-2.5438404,190,0.10806993,0.06875319,0.84040815,-0.948459,1.0
19200.0,0.2024488,0.94,3840.0,-2.0020847,191,0.108056806,0.06873112,0.84038115,-1.1608685,1.0
19300.0,0.20242114,0.96,3860.0,-2.027858,192,0.10798427,0.06868588,0.84038645,-1.0837294,1.0
19400.0,0.20241767,0.94,3880.0,-2.4396822,193,0.107984155,0.06867271,0.8403623,-1.0132437,1.0
19500.0,0.20239072,0.94,3900.0,-2.122624,194,0.10803918,0.068630844,0.8403502,-1.169469,1.0
19600.0,0.20237629,0.95,3920.0,-2.2519686,195,0.10805671,0.06864054,0.8403469,-1.1137989,1.0
19700.0,0.20237766,0.95,3940.0,-1.9627973,196,0.10802512,0.068606846,0.8403073,-1.1179531,1.0
19800.0,0.20238538,0.94,3960.0,-2.3354418,197,0.10804956,0.0685663,0.8403073,-0.9923155,1.0
19900.0,0.20237632,0.93,3980.0,-1.7654507,198,0.10801762,0.068526864,0.84028506,-1.060545,1.0
20000.0,0.20237659,0.94,4000.0,-2.1098537,199,0.1079622,0.068493836,0.84029037,-1.1622956,1.0
